id,disease,symptoms,herbs_used,precautions,prevention,preparation
2434,Gastritis,"body ache, diarrhea, insomnia, itching, nausea","Ginger, Turmeric","Avoid spicy food, Maintain hydration","Adequate sleep routine, Stress management","Using Ginger, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1185,Urinary Tract Infection,"body ache, dizziness, insomnia, sore throat","Guduchi, Haritaki, Shatavari","Avoid stress, Do not overexert","Adequate sleep routine, Seasonal immunity support","Using Guduchi, Haritaki, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
4556,Migraine,"back pain, dry cough, productive cough, skin rash","Neem, Shatavari","Avoid alcohol, Avoid oily food","Regular exercise, Seasonal immunity support, Stress management","Using Neem, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3386,Type 2 Diabetes (Early Stage),"back pain, burning sensation, fever, loss of appetite, low energy","Ashwagandha, Bibhitaki","Avoid alcohol, Ensure adequate sleep","Herbal immune boosters, Regular exercise, Stress management","Using Ashwagandha, Bibhitaki, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4118,Urinary Tract Infection,"abdominal pain, back pain, diarrhea, fever, skin rash, sore throat","Amla, Ashwagandha, Pippali","Ensure adequate sleep, Maintain hydration","Daily yoga practice, Herbal immune boosters, Stress management","Using Amla, Ashwagandha, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4844,Tension Headache,"anxiety, back pain, constipation, dizziness, fatigue","Bibhitaki, Neem","Avoid stress, Ensure adequate sleep, Maintain hydration","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Bibhitaki, Neem, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2905,Indigestion,"diarrhea, insomnia, low energy, productive cough, sore throat","Ashwagandha, Manjistha, Pippali, Shatavari","Avoid alcohol, Avoid cold food, Maintain hydration","Balanced diet, Daily yoga practice, Herbal immune boosters","Using Ashwagandha, Manjistha, Pippali, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
475,Seasonal Fever,"body ache, constipation, dry cough, fatigue, productive cough","Amla, Gokshura, Shatavari, Turmeric","Avoid oily food, Ensure adequate sleep, Light and warm diet","Balanced diet, Daily yoga practice, Regular exercise","Using Amla, Gokshura, Shatavari, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
1083,Gastritis,"anxiety, chest discomfort, fever, productive cough","Bibhitaki, Brahmi, Shatavari","Avoid cold food, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Bibhitaki, Brahmi, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2559,Common Cold,"body ache, dizziness, insomnia","Ashwagandha, Bibhitaki, Haritaki, Shatavari","Avoid alcohol, Maintain hydration","Adequate sleep routine, Daily yoga practice, Regular exercise","Using Ashwagandha, Bibhitaki, Haritaki, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2048,Allergic Rhinitis,"abdominal pain, chest discomfort, fever, frequent urination, nausea, vomiting","Guduchi, Tulsi","Avoid oily food, Maintain hydration","Daily yoga practice, Regular exercise","Using Guduchi, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2748,Stress-Induced Insomnia,"abdominal pain, chest discomfort, itching, nausea, vomiting","Haritaki, Shatavari","Avoid alcohol, Avoid spicy food, Maintain hydration","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Haritaki, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
976,Allergic Rhinitis,"back pain, burning sensation, chest discomfort, diarrhea, headache, joint pain","Ginger, Gokshura, Pippali","Avoid oily food, Avoid stress, Do not overexert","Daily yoga practice, Herbal immune boosters","Using Ginger, Gokshura, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
1807,Seasonal Fever,"dizziness, dry cough, low energy","Ashwagandha, Bibhitaki, Haritaki, Shatavari","Avoid alcohol, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters, Stress management","Using Ashwagandha, Bibhitaki, Haritaki, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
190,Tinnitus (Early Stage),"anxiety, back pain, dry cough, shortness of breath","Brahmi, Turmeric","Avoid cold food, Avoid stress, Ensure adequate sleep","Adequate sleep routine, Stress management","Using Brahmi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2735,Cervical Spondylosis,"back pain, diarrhea, frequent urination, loss of appetite","Ginger, Guduchi, Tulsi, Turmeric","Avoid alcohol, Avoid cold food, Ensure adequate sleep","Daily yoga practice, Stress management","Using Ginger, Guduchi, Tulsi, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
3006,Loss of Appetite,"back pain, dizziness, frequent urination, insomnia, muscle pain","Ashwagandha, Turmeric","Avoid spicy food, Avoid stress","Balanced diet, Stress management","Using Ashwagandha, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4659,Seasonal Allergy,"abdominal pain, back pain, frequent urination, loss of appetite, low energy, shortness of breath","Gokshura, Pippali","Avoid cold food, Avoid oily food, Avoid spicy food","Balanced diet, Daily yoga practice, Herbal immune boosters","Using Gokshura, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1900,Tinnitus (Early Stage),"constipation, itching, joint pain, nausea, sore throat","Arjuna, Gokshura, Neem, Tulsi","Avoid stress, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters, Stress management","Using Arjuna, Gokshura, Neem, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1268,Dry Cough,"burning sensation, dry cough, fever, insomnia, joint pain, vomiting","Ashwagandha, Punarnava","Avoid spicy food, Avoid stress, Ensure adequate sleep","Balanced diet, Stress management","Using Ashwagandha, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1529,Gastritis,"constipation, itching, loss of appetite, nausea, shortness of breath","Pippali, Punarnava, Shatavari, Tulsi","Ensure adequate sleep, Light and warm diet","Balanced diet, Herbal immune boosters, Stress management","Using Pippali, Punarnava, Shatavari, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3203,Peptic Ulcer,"abdominal pain, back pain, diarrhea, low energy, muscle pain, sore throat","Arjuna, Brahmi, Ginger","Avoid spicy food, Avoid stress, Do not overexert","Balanced diet, Seasonal immunity support, Stress management","Using Arjuna, Brahmi, Ginger, Make a light decoction from the herbs and consume warm, preferably after food."
3557,Eye Irritation,"burning sensation, constipation, muscle pain, sore throat","Bibhitaki, Ginger, Tulsi","Avoid cold food, Light and warm diet","Adequate sleep routine, Seasonal immunity support, Stress management","Using Bibhitaki, Ginger, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3891,Vitamin D Deficiency,"back pain, dizziness, fever, insomnia, skin rash","Arjuna, Gokshura, Haritaki, Shatavari","Avoid alcohol, Avoid spicy food, Avoid stress","Daily yoga practice, Seasonal immunity support","Using Arjuna, Gokshura, Haritaki, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
647,Seasonal Allergy,"insomnia, loss of appetite, vomiting","Amla, Manjistha, Pippali, Shatavari","Avoid alcohol, Light and warm diet","Adequate sleep routine, Herbal immune boosters","Using Amla, Manjistha, Pippali, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2889,Peptic Ulcer,"anxiety, back pain, fatigue, loss of appetite, muscle pain","Brahmi, Manjistha, Punarnava","Avoid alcohol, Avoid oily food, Light and warm diet","Herbal immune boosters, Seasonal immunity support","Using Brahmi, Manjistha, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
2436,Loss of Appetite,"diarrhea, fever, low energy","Amla, Ashwagandha, Shatavari","Avoid alcohol, Avoid oily food, Light and warm diet","Regular exercise, Seasonal immunity support, Stress management","Using Amla, Ashwagandha, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
601,Osteoarthritis,"body ache, dry cough, itching","Arjuna, Bibhitaki","Avoid spicy food, Light and warm diet, Maintain hydration","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Arjuna, Bibhitaki, Make a light decoction from the herbs and consume warm, preferably after food."
2364,Diarrheal Disorder,"dry cough, fatigue, headache, insomnia, loss of appetite, skin rash","Manjistha, Shatavari","Avoid spicy food, Do not overexert, Light and warm diet","Balanced diet, Daily yoga practice","Using Manjistha, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2062,Hypothyroidism (Mild),"back pain, burning sensation, fatigue, fever, loss of appetite, sore throat","Bibhitaki, Manjistha","Avoid stress, Light and warm diet, Maintain hydration","Adequate sleep routine, Balanced diet, Regular exercise","Using Bibhitaki, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
242,Migraine,"dry cough, fatigue, muscle pain","Amla, Bibhitaki, Manjistha, Turmeric","Do not overexert, Maintain hydration","Adequate sleep routine, Balanced diet, Seasonal immunity support","Using Amla, Bibhitaki, Manjistha, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
2042,Osteoarthritis,"back pain, dry cough, headache, itching, loss of appetite, shortness of breath","Bibhitaki, Manjistha","Avoid cold food, Avoid spicy food, Avoid stress","Balanced diet, Herbal immune boosters, Stress management","Using Bibhitaki, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2825,Lower Back Pain,"body ache, constipation, joint pain, vomiting","Amla, Ashwagandha, Shatavari","Avoid stress, Do not overexert, Light and warm diet","Herbal immune boosters, Regular exercise","Using Amla, Ashwagandha, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
2613,Dry Eye Syndrome,"anxiety, back pain, fatigue, frequent urination, nausea, vomiting","Gokshura, Guduchi, Neem, Pippali","Avoid spicy food, Do not overexert, Ensure adequate sleep","Balanced diet, Regular exercise, Seasonal immunity support","Using Gokshura, Guduchi, Neem, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
1364,Osteoarthritis,"abdominal pain, body ache, dizziness, fever","Gokshura, Pippali","Avoid stress, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Balanced diet","Using Gokshura, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
1479,Mild Asthma,"chest discomfort, constipation, headache","Brahmi, Haritaki, Pippali","Avoid stress, Do not overexert","Regular exercise, Seasonal immunity support, Stress management","Using Brahmi, Haritaki, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2557,Anxiety Disorder (Mild),"abdominal pain, back pain, fever","Ashwagandha, Guduchi, Haritaki, Shatavari","Avoid alcohol, Do not overexert","Adequate sleep routine, Herbal immune boosters","Using Ashwagandha, Guduchi, Haritaki, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
776,Eye Irritation,"anxiety, dry cough, fatigue, itching, nausea","Arjuna, Bibhitaki, Neem, Turmeric","Avoid oily food, Do not overexert","Adequate sleep routine, Balanced diet, Seasonal immunity support","Using Arjuna, Bibhitaki, Neem, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4015,Dry Eye Syndrome,"anxiety, frequent urination, headache, insomnia, low energy, sore throat","Bibhitaki, Gokshura, Tulsi","Avoid oily food, Avoid stress, Maintain hydration","Seasonal immunity support, Stress management","Using Bibhitaki, Gokshura, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
35,Indigestion,"abdominal pain, dizziness, headache, loss of appetite, sore throat, vomiting","Brahmi, Haritaki","Avoid oily food, Avoid stress, Light and warm diet","Regular exercise, Stress management","Using Brahmi, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3153,Sleep Disturbance Disorder,"abdominal pain, chest discomfort, low energy, nausea, skin rash","Arjuna, Manjistha","Avoid cold food, Ensure adequate sleep, Maintain hydration","Seasonal immunity support, Stress management","Using Arjuna, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1956,Thyroid Imbalance,"abdominal pain, body ache, diarrhea, dizziness, dry cough, skin rash","Amla, Ginger, Gokshura","Avoid alcohol, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Daily yoga practice","Using Amla, Ginger, Gokshura, Make a light decoction from the herbs and consume warm, preferably after food."
1586,Osteoarthritis,"joint pain, nausea, productive cough, vomiting","Arjuna, Bibhitaki","Avoid alcohol, Ensure adequate sleep, Light and warm diet","Daily yoga practice, Regular exercise","Using Arjuna, Bibhitaki, Make a light decoction from the herbs and consume warm, preferably after food."
3944,Dry Cough,"anxiety, chest discomfort, fatigue, loss of appetite, low energy, sore throat","Amla, Ashwagandha, Brahmi, Manjistha","Do not overexert, Maintain hydration","Adequate sleep routine, Daily yoga practice, Seasonal immunity support","Using Amla, Ashwagandha, Brahmi, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3074,Migraine,"dry cough, fever, insomnia, nausea","Brahmi, Manjistha","Avoid spicy food, Light and warm diet","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Brahmi, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
1022,Fungal Skin Infection,"abdominal pain, body ache, dizziness, low energy","Bibhitaki, Ginger","Avoid alcohol, Avoid stress, Light and warm diet","Herbal immune boosters, Stress management","Using Bibhitaki, Ginger, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3462,Allergic Rhinitis,"body ache, frequent urination, sore throat","Amla, Manjistha, Pippali","Avoid oily food, Avoid spicy food, Light and warm diet","Balanced diet, Daily yoga practice, Stress management","Using Amla, Manjistha, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
2614,Anxiety Disorder (Mild),"burning sensation, dizziness, nausea","Punarnava, Shatavari","Avoid alcohol, Avoid oily food","Adequate sleep routine, Regular exercise","Using Punarnava, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
3844,Cervical Spondylosis,"back pain, burning sensation, insomnia, low energy, productive cough","Bibhitaki, Pippali, Punarnava, Tulsi","Avoid oily food, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Bibhitaki, Pippali, Punarnava, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
1501,Dry Eye Syndrome,"anxiety, fever, insomnia, low energy, skin rash","Arjuna, Haritaki, Pippali, Shatavari","Avoid alcohol, Avoid cold food","Daily yoga practice, Regular exercise, Seasonal immunity support","Using Arjuna, Haritaki, Pippali, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
4799,Dry Cough,"diarrhea, dizziness, productive cough","Amla, Pippali, Tulsi, Turmeric","Avoid alcohol, Do not overexert, Light and warm diet","Regular exercise, Stress management","Using Amla, Pippali, Tulsi, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
162,Psoriasis,"body ache, chest discomfort, frequent urination, joint pain, low energy, muscle pain","Bibhitaki, Ginger","Avoid spicy food, Ensure adequate sleep, Maintain hydration","Balanced diet, Daily yoga practice, Stress management","Using Bibhitaki, Ginger, Make a light decoction from the herbs and consume warm, preferably after food."
4298,Seasonal Fever,"body ache, diarrhea, dizziness, fatigue, loss of appetite, low energy","Arjuna, Ginger, Manjistha, Neem","Avoid cold food, Do not overexert","Balanced diet, Seasonal immunity support, Stress management","Using Arjuna, Ginger, Manjistha, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
1982,Bacterial Skin Infection,"abdominal pain, back pain, chest discomfort, nausea","Ashwagandha, Bibhitaki, Haritaki, Tulsi","Avoid spicy food, Do not overexert, Ensure adequate sleep","Daily yoga practice, Stress management","Using Ashwagandha, Bibhitaki, Haritaki, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
996,Rheumatoid Arthritis,"fatigue, fever, headache, itching, muscle pain, productive cough","Ginger, Pippali, Shatavari","Avoid cold food, Maintain hydration","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Ginger, Pippali, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4912,Constipation Disorder,"back pain, loss of appetite, sore throat","Amla, Punarnava","Avoid stress, Do not overexert","Balanced diet, Daily yoga practice, Herbal immune boosters","Using Amla, Punarnava, Boil herbs in water, strain well, and drink fresh for symptom relief."
3343,Heat Exhaustion,"burning sensation, constipation, diarrhea, sore throat","Arjuna, Turmeric","Avoid alcohol, Avoid spicy food, Light and warm diet","Adequate sleep routine, Herbal immune boosters","Using Arjuna, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
4552,Productive Cough,"chest discomfort, insomnia, muscle pain, nausea, productive cough","Ginger, Gokshura, Shatavari","Avoid oily food, Avoid spicy food, Avoid stress","Regular exercise, Seasonal immunity support","Using Ginger, Gokshura, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
3799,Constipation Disorder,"anxiety, dizziness, dry cough, joint pain, skin rash","Bibhitaki, Guduchi, Haritaki, Pippali","Avoid alcohol, Avoid stress","Balanced diet, Daily yoga practice","Using Bibhitaki, Guduchi, Haritaki, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
1276,Bacterial Fever,"back pain, dizziness, fatigue, insomnia, skin rash","Amla, Ginger","Avoid alcohol, Avoid cold food, Ensure adequate sleep","Balanced diet, Herbal immune boosters, Seasonal immunity support","Using Amla, Ginger, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1017,Viral Fever,"anxiety, back pain, dry cough, fever, nausea","Bibhitaki, Ginger, Pippali, Shatavari","Avoid alcohol, Avoid stress","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Bibhitaki, Ginger, Pippali, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
338,Vertigo,"fever, frequent urination, low energy, nausea, sore throat","Arjuna, Ashwagandha, Haritaki, Pippali","Avoid cold food, Avoid spicy food, Avoid stress","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Arjuna, Ashwagandha, Haritaki, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
879,Food Poisoning,"body ache, dizziness, joint pain","Arjuna, Bibhitaki, Manjistha","Avoid cold food, Light and warm diet, Maintain hydration","Adequate sleep routine, Balanced diet, Stress management","Using Arjuna, Bibhitaki, Manjistha, Boil herbs in water, strain well, and drink fresh for symptom relief."
1077,Early Hypotension,"itching, joint pain, shortness of breath","Ginger, Guduchi, Turmeric","Avoid spicy food, Do not overexert","Adequate sleep routine, Daily yoga practice, Stress management","Using Ginger, Guduchi, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
4888,Seasonal Fever,"abdominal pain, body ache, headache, shortness of breath, sore throat","Bibhitaki, Neem, Turmeric","Avoid oily food, Do not overexert, Maintain hydration","Daily yoga practice, Seasonal immunity support","Using Bibhitaki, Neem, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3994,Acid Reflux,"abdominal pain, itching, low energy, skin rash","Bibhitaki, Ginger, Guduchi, Haritaki","Avoid stress, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Regular exercise","Using Bibhitaki, Ginger, Guduchi, Haritaki, Boil herbs in water, strain well, and drink fresh for symptom relief."
4860,Vitamin B12 Deficiency,"anxiety, burning sensation, constipation, vomiting","Ginger, Guduchi, Neem","Avoid stress, Ensure adequate sleep, Light and warm diet","Daily yoga practice, Seasonal immunity support, Stress management","Using Ginger, Guduchi, Neem, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
380,Osteoarthritis,"constipation, diarrhea, dizziness, fatigue, nausea, skin rash","Bibhitaki, Pippali","Avoid alcohol, Avoid oily food, Maintain hydration","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Bibhitaki, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
493,Peptic Ulcer,"burning sensation, dry cough, fatigue, insomnia, muscle pain","Ashwagandha, Brahmi, Guduchi","Avoid alcohol, Avoid cold food, Avoid oily food","Herbal immune boosters, Seasonal immunity support, Stress management","Using Ashwagandha, Brahmi, Guduchi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2063,Constipation Disorder,"dry cough, insomnia, vomiting","Ashwagandha, Ginger, Guduchi, Turmeric","Avoid cold food, Avoid oily food, Maintain hydration","Balanced diet, Regular exercise, Seasonal immunity support","Using Ashwagandha, Ginger, Guduchi, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3885,Productive Cough,"anxiety, burning sensation, frequent urination, low energy, muscle pain, skin rash","Ashwagandha, Brahmi","Light and warm diet, Maintain hydration","Adequate sleep routine, Balanced diet, Regular exercise","Using Ashwagandha, Brahmi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
65,Thyroid Imbalance,"anxiety, diarrhea, skin rash","Pippali, Punarnava, Turmeric","Avoid cold food, Light and warm diet, Maintain hydration","Regular exercise, Seasonal immunity support","Using Pippali, Punarnava, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2569,Joint Inflammation,"abdominal pain, anxiety, chest discomfort, diarrhea, fatigue","Haritaki, Turmeric","Avoid oily food, Avoid stress","Regular exercise, Stress management","Using Haritaki, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
2028,Irritable Bowel Syndrome,"muscle pain, productive cough, vomiting","Amla, Ashwagandha, Manjistha","Avoid stress, Maintain hydration","Adequate sleep routine, Balanced diet, Seasonal immunity support","Using Amla, Ashwagandha, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2696,Bacterial Fever,"body ache, dry cough, joint pain, skin rash, sore throat","Amla, Manjistha","Ensure adequate sleep, Light and warm diet","Balanced diet, Daily yoga practice","Using Amla, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1496,Tension Headache,"body ache, frequent urination, insomnia, low energy, shortness of breath, vomiting","Arjuna, Brahmi, Gokshura, Turmeric","Avoid cold food, Avoid oily food, Avoid spicy food","Adequate sleep routine, Daily yoga practice, Regular exercise","Using Arjuna, Brahmi, Gokshura, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
392,Food Poisoning,"anxiety, diarrhea, dry cough, insomnia, muscle pain","Gokshura, Shatavari, Tulsi","Avoid oily food, Avoid stress","Herbal immune boosters, Regular exercise, Stress management","Using Gokshura, Shatavari, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
4515,Vertigo,"dizziness, insomnia, joint pain, low energy, muscle pain, nausea","Haritaki, Neem, Tulsi, Turmeric","Avoid stress, Light and warm diet, Maintain hydration","Daily yoga practice, Herbal immune boosters","Using Haritaki, Neem, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4475,Stress-Induced Insomnia,"abdominal pain, dry cough, fever, loss of appetite, muscle pain, productive cough","Manjistha, Tulsi","Avoid cold food, Ensure adequate sleep","Adequate sleep routine, Daily yoga practice","Using Manjistha, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
3562,Cervical Spondylosis,"body ache, burning sensation, chest discomfort, fatigue, headache, shortness of breath","Ginger, Gokshura, Guduchi","Avoid alcohol, Do not overexert, Maintain hydration","Regular exercise, Seasonal immunity support","Using Ginger, Gokshura, Guduchi, Make a light decoction from the herbs and consume warm, preferably after food."
2279,Anxiety Disorder (Mild),"chest discomfort, diarrhea, dry cough, fever, itching, joint pain","Bibhitaki, Gokshura","Avoid oily food, Ensure adequate sleep","Adequate sleep routine, Regular exercise, Seasonal immunity support","Using Bibhitaki, Gokshura, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3100,Acid Reflux,"constipation, fever, itching, skin rash","Ashwagandha, Haritaki, Shatavari","Avoid cold food, Avoid oily food, Do not overexert","Adequate sleep routine, Stress management","Using Ashwagandha, Haritaki, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
201,Seasonal Allergy,"dizziness, dry cough, headache, insomnia, productive cough, skin rash","Gokshura, Guduchi, Neem, Punarnava","Do not overexert, Light and warm diet","Adequate sleep routine, Daily yoga practice","Using Gokshura, Guduchi, Neem, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
